"","Day","Entrance","Entrys","EntryRatio"
"1","Friday","7:00-7:30",51,0.00555132252095352
"2","Friday","7:30-8:00",80,0.00870795689561337
"3","Friday","8:00-8:30",782,0.0851202786546207
"4","Friday","8:30-9:00",719,0.0782627625993251
"5","Friday","9:00-9:30",85,0.0092522042015892
"6","Friday","9:30-10:00",33,0.00359203221944051
"7","Monday","7:00-7:30",44,0.00478937629258735
"8","Monday","7:30-8:00",73,0.0079460106672472
"9","Monday","8:00-8:30",825,0.0898008054860128
"10","Monday","8:30-9:00",714,0.0777185152933493
"11","Monday","9:00-9:30",99,0.0107760966583215
"12","Monday","9:30-10:00",33,0.00359203221944051
"13","Saturday","7:00-7:30",3,0.000326548383585501
"14","Saturday","7:30-8:00",9,0.000979645150756504
"15","Saturday","8:00-8:30",51,0.00555132252095352
"16","Saturday","8:30-9:00",44,0.00478937629258735
"17","Saturday","9:00-9:30",3,0.000326548383585501
"18","Saturday","9:30-10:00",4,0.000435397844780668
"19","Sunday","7:00-7:30",2,0.000217698922390334
"20","Sunday","7:30-8:00",8,0.000870795689561337
"21","Sunday","8:00-8:30",48,0.00522477413736802
"22","Sunday","8:30-9:00",47,0.00511592467617285
"23","Sunday","9:00-9:30",6,0.000653096767171003
"24","Sunday","9:30-10:00",1,0.000108849461195167
"25","Thursday","7:00-7:30",55,0.00598672036573419
"26","Thursday","7:30-8:00",80,0.00870795689561337
"27","Thursday","8:00-8:30",792,0.0862087732665723
"28","Thursday","8:30-9:00",726,0.0790247088276913
"29","Thursday","9:00-9:30",95,0.0103406988135409
"30","Thursday","9:30-10:00",39,0.00424512898661152
"31","Tuesday","7:00-7:30",56,0.00609556982692936
"32","Tuesday","7:30-8:00",80,0.00870795689561337
"33","Tuesday","8:00-8:30",822,0.0894742571024273
"34","Tuesday","8:30-9:00",704,0.0766300206813976
"35","Tuesday","9:00-9:30",105,0.0114291934254925
"36","Tuesday","9:30-10:00",44,0.00478937629258735
"37","Wednesday","7:00-7:30",57,0.00620441928812452
"38","Wednesday","7:30-8:00",93,0.0101229998911505
"39","Wednesday","8:00-8:30",771,0.0839229345814738
"40","Wednesday","8:30-9:00",768,0.0835963861978883
"41","Wednesday","9:00-9:30",81,0.00881680635680853
"42","Wednesday","9:30-10:00",33,0.00359203221944051
