"","Day","Exit","Exits","ExitRatio"
"1","Friday","15:00-15:30",175,0.0190486557091542
"2","Friday","15:30-16:00",301,0.0327636878197453
"3","Friday","16:00-16:30",693,0.0754326766082508
"4","Friday","16:30-17:00",393,0.0427778382497007
"5","Friday","17:00-17:30",107,0.0116468923478829
"6","Friday","17:30-18:00",81,0.00881680635680853
"7","Monday","15:00-15:30",156,0.0169805159464461
"8","Monday","15:30-16:00",346,0.0376619135735278
"9","Monday","16:00-16:30",679,0.0739087841515185
"10","Monday","16:30-17:00",392,0.0426689887885055
"11","Monday","17:00-17:30",118,0.0128442364210297
"12","Monday","17:30-18:00",97,0.0105583977359312
"13","Saturday","15:00-15:30",13,0.00141504299553717
"14","Saturday","15:30-16:00",30,0.00326548383585501
"15","Saturday","16:00-16:30",47,0.00511592467617285
"16","Saturday","16:30-17:00",14,0.00152389245673234
"17","Saturday","17:00-17:30",5,0.000544247305975835
"18","Saturday","17:30-18:00",5,0.000544247305975835
"19","Sunday","15:00-15:30",14,0.00152389245673234
"20","Sunday","15:30-16:00",24,0.00261238706868401
"21","Sunday","16:00-16:30",41,0.00446282790900185
"22","Sunday","16:30-17:00",22,0.00239468814629368
"23","Sunday","17:00-17:30",7,0.00076194622836617
"24","Sunday","17:30-18:00",4,0.000435397844780668
"25","Thursday","15:00-15:30",179,0.0194840535539349
"26","Thursday","15:30-16:00",342,0.0372265157287471
"27","Thursday","16:00-16:30",698,0.0759769239142266
"28","Thursday","16:30-17:00",367,0.0399477522586263
"29","Thursday","17:00-17:30",109,0.0118645912702732
"30","Thursday","17:30-18:00",92,0.0100141504299554
"31","Tuesday","15:00-15:30",173,0.0188309567867639
"32","Tuesday","15:30-16:00",326,0.0354849243496245
"33","Tuesday","16:00-16:30",671,0.0730379884619571
"34","Tuesday","16:30-17:00",422,0.0459344726243605
"35","Tuesday","17:00-17:30",115,0.0125176880374442
"36","Tuesday","17:30-18:00",104,0.0113203439642974
"37","Wednesday","15:00-15:30",173,0.0188309567867639
"38","Wednesday","15:30-16:00",348,0.0378796124959181
"39","Wednesday","16:00-16:30",684,0.0744530314574943
"40","Wednesday","16:30-17:00",386,0.0420158920213345
"41","Wednesday","17:00-17:30",128,0.0139327310329814
"42","Wednesday","17:30-18:00",84,0.00914335474039404
